Trn# (Internal);OR_DEAL_NO;GID_ORG;TT deal number reference;Trn.Date;Date: Period value date;Counterpart;Instrument;Buy / Sell Flag (B/S);Nominal currency;Nominal amount;Price in display format;XSW Leg2 Price;Original Deal Contract Rate;Status (LIVE/MKT_OP/DEAD);AGENT;PURPOSE;Trader;CONTACT;Original Typology;Val status;NOS_ACC Credit;NOS_ACC Debit;SETL_MOD Credit;SETL_MOD Debit;
8830113;8756420;2968385;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;12999;34.7557;34.8;34.8;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
8830118;8756420;2968385;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;59924;34.7557;34.8;34.8;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
8831060;8814964;3028245;0;09/05/2016;09/05/2016;C_11138;USD/THB;B;USD;13248.99;35.1854;35.27;35.27;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8831195;8814964;3028245;0;09/05/2016;09/05/2016;C_11138;USD/THB;B;USD;530000;35.1854;35.27;35.27;LIVE;CHM;PC;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8830288;8829545;3043200;0;09/05/2016;09/05/2016;C_6108;USD/THB;B;USD;197028.09;35.15;35.24;35.24;LIVE;FRC;IW;VAI09054;yupa;PROFWD;CONF;;;CORP;CORP;
8832430;8774551;2986898;0;09/05/2016;09/05/2016;C_5265;USD/THB;B;USD;31296.35;35.3044;35.36;35.36;LIVE;HYT;TR;CJT08153;thanvarat;PROFWD;CONF;;;CORP;CORP;
8830771;8756420;2968385;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;61630;34.7557;34.8;34.8;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
8830763;8756420;2968385;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;16909.79;34.7557;34.8;34.8;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
8830768;8756420;2968385;0;09/05/2016;09/05/2016;C_12156;USD/THB;B;USD;9989;34.7557;34.8;34.8;LIVE;FRC;IW;VAI09054;saaksorn;PROFWD;CONF;;;CORP;CORP;
8832626;8774551;2986898;0;09/05/2016;09/05/2016;C_5265;USD/THB;B;USD;26091.82;35.3044;35.36;35.36;LIVE;HYT;TR;CJT08153;thnanvarat;PROFWD;CONF;;;CORP;CORP;
8831050;8747468;2959160;0;09/05/2016;09/05/2016;C_5473;USD/THB;B;USD;16784.6;35.0176;35.06;35.06;LIVE;SMP;TT;CJT08153;anintita;PROFWD;CONF;;;CORP;CORP;
8830983;8784906;2997471;0;09/05/2016;09/05/2016;C_3483;USD/THB;B;USD;1676;35.345;35.42;35.42;LIVE;PHY;TT;CJT08153;wanna;PROFWD;CONF;;;CORP;CORP;
8830987;8811237;3024423;0;09/05/2016;09/05/2016;C_3483;USD/THB;B;USD;16680.62;35.1259;35.21;35.21;LIVE;PHY;TT;CJT08153;wanna;PROFWD;CONF;;;CORP;CORP;
8830989;8756410;2968374;0;09/05/2016;09/05/2016;C_3354;USD/THB;B;USD;100000;34.8487;34.93;34.93;LIVE;FRC;IW;CJT08153;pattarin;PROFWD;CONF;;;CORP;CORP;
8830996;8744817;2956414;0;09/05/2016;09/05/2016;C_3354;USD/THB;B;USD;330000;35.1101;35.1925;35.1925;LIVE;FRC;IW;CJT08153;pattarin;PROFWD;CONF;;;CORP;CORP;
8830026;8825774;3039338;0;09/05/2016;09/05/2016;C_1623;USD/THB;B;USD;83850.11;34.81;34.81;34.81;LIVE;FRC;IW;PBA10716;NAN;ADJFWD;CONF;;;CORP;CORP;
8831173;8687096;2897295;0;09/05/2016;09/05/2016;C_270;USD/THB;B;USD;24795;35.9116;35.94;35.94;LIVE;ASK;TT;CJT08153;oraphin;PROFWD;CONF;;;CORP;CORP;
8831107;8687096;2897295;0;09/05/2016;09/05/2016;C_270;USD/THB;B;USD;93590;35.9116;35.94;35.94;LIVE;FRC;IW;VAI09054;oraphin;PROFWD;CONF;;;CORP;CORP;
8829946;8665986;2875417;0;09/05/2016;09/05/2016;C_3299;USD/THB;B;USD;161667.68;36.1512;36.2;36.2;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8829965;8665986;2875417;0;09/05/2016;09/05/2016;C_3299;USD/THB;B;USD;95995.06;36.1512;36.2;36.2;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8829988;8622915;2831109;0;09/05/2016;09/05/2016;C_3299;USD/THB;B;USD;77272.8;36.0943;36.125;36.125;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8830088;8765241;2977425;0;09/05/2016;09/05/2016;C_3201;USD/THB;B;USD;285921.69;35.1255;35.205;35.205;LIVE;FRC;IW;VAI09054;pattarin;PROFWD;CONF;;;CORP;CORP;
8830099;8762032;2974112;0;09/05/2016;09/05/2016;C_3201;USD/THB;B;USD;6309.22;34.9122;34.995;34.995;LIVE;FRC;IW;VAI09054;pattarin;PROFWD;CONF;;;CORP;CORP;
8831275;8773511;2985831;0;09/05/2016;09/05/2016;C_3391;USD/THB;B;USD;550.16;35.417;35.48;35.48;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8831283;8773511;2985831;0;09/05/2016;09/05/2016;C_3391;USD/THB;B;USD;494.6;35.417;35.48;35.48;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8830155;8784909;2997474;0;09/05/2016;09/05/2016;C_2961;USD/THB;B;USD;10000;35.3233;35.39;35.39;LIVE;FRC;IW;CJT08153;rattana;PROFWD;CONF;;;CORP;CORP;
8830197;8784174;2996733;0;09/05/2016;09/05/2016;C_1402;USD/THB;B;USD;140682.3;35.31;35.36;35.36;LIVE;SMP;TT;CJT08153;rattana;PROFWD;CONF;;;CORP;CORP;
8831325;8773511;2985831;0;09/05/2016;09/05/2016;C_3391;USD/THB;B;USD;30479.25;35.417;35.48;35.48;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8831340;8773511;2985831;0;09/05/2016;09/05/2016;C_3391;USD/THB;B;USD;3934.2;35.417;35.48;35.48;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8832391;8686155;2896321;0;09/05/2016;09/05/2016;C_5055;USD/THB;B;USD;14954.15;35.8768;35.93;35.93;LIVE;FRC;IW;CJT08153;oraphin;PROFWD;CONF;;;CORP;CORP;
8832404;8686155;2896321;0;09/05/2016;09/05/2016;C_5055;USD/THB;B;USD;4409.76;35.8768;35.93;35.93;LIVE;FRC;IW;CJT08153;oraphin;PROFWD;CONF;;;CORP;CORP;
8830299;8784909;2997474;0;09/05/2016;09/05/2016;C_2961;USD/THB;B;USD;13765;35.3233;35.39;35.39;LIVE;FRC;IW;CJT08153;rattana;PROFWD;CONF;;;CORP;CORP;
